left2010,left2019,left2015,vote2010,vote2015,vote2019,male,age,education,unemployed,ideology,iv_immigration,iv_economy,imm_issue,eco_issue,right2010,right2015,right2019
1,1,1,Plaid Cymru,Plaid Cymru,Plaid Cymru,0,71,4,0,3,0.5,0.75,0,0,0,0,0
1,NA,1,Liberal Democrat,Green Party,NA,1,NA,NA,NA,1,0.25,1,0,0,0,0,NA
1,NA,1,Labour,Labour,NA,1,NA,NA,NA,3,0.75,0.75,0,1,0,0,NA
NA,0,1,NA,Labour,Conservative,0,31,NA,1,NA,1,1,NA,0,NA,0,1
1,NA,1,Liberal Democrat,Green Party,NA,1,NA,NA,NA,1,0.5,0.75,0,1,0,0,NA
0,NA,1,Conservative,Liberal Democrat,NA,0,NA,NA,NA,5,0,1,0,0,1,0,NA
0,NA,1,Conservative,Labour,NA,0,28,3,0,3,0.25,0.75,NA,0,1,0,NA
0,NA,0,Conservative,Conservative,NA,0,NA,NA,NA,5,1,0.5,1,0,1,1,NA
1,NA,1,Labour,Labour,NA,0,NA,NA,NA,2,0.75,0.75,0,0,0,0,NA
NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2,0.5,1,0,1,NA,NA,NA
0,0,0,Conservative,Conservative,Conservative,0,79,4,0,10,1,0.25,1,0,1,1,1
0,1,1,Conservative,Green Party,Labour,1,28,5,0,8,0.5,0.5,0,0,1,0,0
1,NA,1,Liberal Democrat,Green Party,NA,1,NA,NA,NA,2,0,1,NA,0,0,0,NA
1,1,1,Liberal Democrat,Labour,Labour,1,33,5,0,NA,1,0.25,0,1,0,0,0
0,0,0,Conservative,United Kingdom Independence Party (UKIP),Conservative,1,NA,NA,NA,7,1,0.5,0,0,1,1,1
1,NA,1,Labour,Labour,NA,0,NA,NA,NA,3,1,0.75,0,1,0,0,NA
1,0,0,Liberal Democrat,Conservative,Conservative,0,63,1,0,7,1,0.75,0,1,0,1,1
1,1,1,Liberal Democrat,Liberal Democrat,Liberal Democrat,0,NA,NA,NA,NA,0.75,0.75,0,1,0,0,0
1,1,1,Liberal Democrat,Green Party,Labour,0,31,5,0,2,0.25,1,0,1,0,0,0
1,1,NA,Liberal Democrat,Scottish National Party (SNP),Labour,0,NA,NA,NA,1,0.5,1,0,0,0,NA,0
1,0,1,Liberal Democrat,Labour,Conservative,1,NA,NA,NA,4,1,0.75,0,1,0,0,1
1,1,1,Labour,Labour,Labour,1,71,1,0,3,0.5,1,0,0,0,0,0
1,1,1,Liberal Democrat,Green Party,Labour,1,30,5,0,5,1,0.75,0,0,0,0,0
1,1,1,Liberal Democrat,Labour,Labour,1,NA,NA,NA,6,1,0.25,0,0,0,0,0
0,0,0,Conservative,Conservative,Conservative,1,76,1,0,8,0.5,0.25,0,1,1,1,1
1,NA,1,Labour,Labour,NA,0,NA,NA,NA,6,0.5,0.75,0,0,0,0,NA
0,0,0,Conservative,Conservative,Conservative,1,NA,NA,NA,4,1,0.5,0,1,1,1,1
0,1,0,Conservative,Conservative,Liberal Democrat,1,34,3,0,7,1,0.5,0,1,1,1,0
1,1,1,Plaid Cymru,Plaid Cymru,Plaid Cymru,1,NA,NA,NA,2,0.5,1,0,0,0,0,0
1,1,NA,Labour,NA,Labour,1,52,2,0,5,1,0.75,1,0,0,NA,0
1,1,1,Liberal Democrat,Labour,Labour,0,NA,NA,NA,5,0.75,1,0,1,0,0,0
1,NA,NA,Liberal Democrat,NA,NA,1,NA,NA,NA,NA,0.25,0.5,0,0,0,NA,NA
NA,NA,1,NA,Liberal Democrat,NA,1,NA,NA,NA,5,1,0.25,0,1,NA,0,NA
0,1,0,Conservative,Conservative,Liberal Democrat,1,32,5,0,7,0.5,0.5,0,1,1,1,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.5,0.75,NA,0,NA,NA,NA
0,NA,0,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP),NA,1,NA,NA,NA,10,1,0.25,1,0,1,1,NA
1,NA,1,Labour,Labour,NA,1,NA,NA,NA,7,0.5,0.75,0,1,0,0,NA
0,NA,0,Conservative,Conservative,NA,0,NA,NA,NA,7,1,0.5,0,1,1,1,NA
0,NA,0,Conservative,United Kingdom Independence Party (UKIP),NA,1,NA,NA,NA,7,1,1,1,0,1,1,NA
NA,0,NA,NA,NA,Conservative,1,59,3,0,9,1,0.5,1,0,NA,NA,1
1,NA,NA,Liberal Democrat,NA,NA,0,NA,NA,NA,NA,1,1,0,1,0,NA,NA
1,NA,1,Liberal Democrat,Labour,NA,0,NA,NA,NA,2,0.5,0.5,0,1,0,0,NA
1,1,1,Labour,Labour,Labour,0,33,5,0,3,1,0.75,0,1,0,0,0
1,1,1,Labour,Labour,Labour,1,NA,NA,NA,2,1,1,0,0,0,0,0
1,0,1,Labour,Labour,Conservative,0,70,2,0,10,0.75,1,0,0,0,0,1
NA,0,NA,NA,NA,Conservative,0,54,3,0,10,1,NA,NA,0,NA,NA,1
1,1,1,Liberal Democrat,Labour,Labour,1,57,5,0,0,0.5,1,0,0,0,0,0
0,0,0,Conservative,Conservative,Conservative,0,NA,NA,NA,NA,1,0.75,0,0,1,1,1
0,NA,0,Conservative,Conservative,NA,0,NA,NA,NA,NA,1,1,0,0,1,1,NA
1,0,NA,Labour,NA,Conservative,0,74,2,0,5,1,0,1,0,0,NA,1
1,NA,1,Labour,Labour,NA,1,NA,NA,NA,1,0.5,0.75,0,1,0,0,NA
0,1,0,Conservative,Conservative,Liberal Democrat,0,67,5,0,6,0.75,0.5,0,0,1,1,0
1,NA,1,Liberal Democrat,Labour,NA,0,NA,NA,NA,1,0.75,0.75,0,1,0,0,NA
1,NA,NA,Labour,NA,NA,1,NA,NA,NA,5,0.75,0.75,0,0,0,NA,NA
1,NA,0,Liberal Democrat,Conservative,NA,0,NA,NA,NA,7,1,0.25,1,0,0,1,NA
0,0,0,Conservative,Conservative,Conservative,0,72,5,0,8,0.75,0.5,0,0,1,1,1
0,NA,0,Conservative,United Kingdom Independence Party (UKIP),NA,0,30,2,0,5,0.5,0.5,0,1,1,1,NA
1,1,1,Labour,Plaid Cymru,Plaid Cymru,0,73,3,0,5,1,0.75,0,1,0,0,0
1,1,1,Green Party,Green Party,Green,1,77,1,0,0,0.5,1,0,0,0,0,0
1,NA,1,Labour,Labour,NA,0,64,1,0,0,1,0.75,1,0,0,0,NA
1,1,1,Labour,Labour,Labour,1,70,3,0,2,0.5,1,0,0,0,0,0
1,1,0,Liberal Democrat,Conservative,Labour,1,72,5,0,NA,0,0,0,0,0,1,0
1,NA,0,Liberal Democrat,Conservative,NA,0,NA,NA,NA,NA,0.75,NA,0,0,0,1,NA
NA,1,1,NA,Liberal Democrat,Liberal Democrat,0,NA,NA,NA,4,0.5,0.75,0,0,NA,0,0
1,NA,1,Liberal Democrat,Labour,NA,1,NA,NA,NA,2,0.75,1,0,0,0,0,NA
NA,1,1,NA,Liberal Democrat,Labour,0,NA,NA,NA,5,1,0.75,0,1,NA,0,0
NA,NA,0,NA,United Kingdom Independence Party (UKIP),NA,1,NA,NA,NA,5,1,0.75,1,0,NA,1,NA
1,NA,NA,Plaid Cymru,NA,NA,1,NA,NA,NA,9,0.75,0.5,0,1,0,NA,NA
1,0,0,Liberal Democrat,United Kingdom Independence Party (UKIP),Conservative,1,42,5,0,8,0.5,0.75,1,0,0,1,1
NA,0,0,NA,Conservative,Conservative,1,NA,NA,NA,5,0.75,0.25,0,1,NA,1,1
0,0,0,Conservative,Conservative,Conservative,1,NA,NA,NA,7,0.5,0,0,1,1,1,1
0,0,0,Conservative,Conservative,Conservative,1,74,3,0,5,1,0.75,1,0,1,1,1
1,NA,NA,Labour,NA,NA,1,56,3,0,NA,0.75,0.5,NA,0,0,NA,NA
NA,NA,0,NA,Conservative,NA,0,NA,NA,NA,7,0.75,0.25,0,1,NA,1,NA
1,1,1,Liberal Democrat,Liberal Democrat,Labour,0,NA,NA,NA,3,0.75,0.75,0,1,0,0,0
0,0,0,Conservative,United Kingdom Independence Party (UKIP),Conservative,0,73,3,0,8,1,0.25,0,0,1,1,1
1,0,1,Labour,Labour,Conservative,1,77,1,0,2,0.75,1,0,0,0,0,1
0,0,0,Conservative,Conservative,Conservative,0,59,5,0,5,1,0.5,0,1,1,1,1
NA,0,0,NA,United Kingdom Independence Party (UKIP),Conservative,0,32,2,0,NA,1,0.75,1,0,NA,1,1
0,NA,0,Conservative,Conservative,NA,1,65,5,0,6,1,0.25,0,0,1,1,NA
1,0,0,Liberal Democrat,Conservative,Conservative,0,52,3,0,NA,1,0.75,NA,0,0,1,1
0,0,0,Conservative,Conservative,Conservative,1,40,3,0,8,0.75,0.25,0,0,1,1,1
1,NA,1,Plaid Cymru,Plaid Cymru,NA,0,NA,NA,NA,7,0.5,0.5,0,0,0,0,NA
1,1,1,Labour,Labour,Labour,0,70,5,0,2,0.5,1,0,0,0,0,0
1,NA,1,Liberal Democrat,Liberal Democrat,NA,0,NA,NA,NA,6,1,0.5,0,1,0,0,NA
1,NA,1,Liberal Democrat,Labour,NA,0,NA,NA,NA,3,0.75,0.75,0,0,0,0,NA
0,NA,0,Conservative,Conservative,NA,1,NA,NA,NA,NA,0.5,0.75,NA,0,1,1,NA
0,NA,0,Conservative,Conservative,NA,1,NA,NA,NA,7,1,0.25,0,1,1,1,NA
1,1,1,Liberal Democrat,Liberal Democrat,Labour,1,NA,NA,NA,5,0.75,0.75,0,1,0,0,0
NA,NA,0,NA,United Kingdom Independence Party (UKIP),NA,1,NA,NA,NA,9,1,0,0,0,NA,1,NA
1,NA,0,Liberal Democrat,United Kingdom Independence Party (UKIP),NA,1,50,2,0,5,1,0.75,1,0,0,1,NA
1,1,1,Labour,Labour,Labour,0,NA,NA,NA,3,1,0.75,1,0,0,0,0
1,1,1,Liberal Democrat,Liberal Democrat,Labour,1,44,5,0,NA,0.75,0.5,0,0,0,0,0
0,NA,0,Conservative,Conservative,NA,1,NA,NA,NA,8,1,0.5,1,0,1,1,NA
1,0,0,Liberal Democrat,Conservative,Conservative,1,NA,NA,NA,NA,1,0.5,0,1,0,1,1
NA,NA,0,NA,United Kingdom Independence Party (UKIP),NA,0,NA,NA,NA,NA,0,0.75,1,0,NA,1,NA
1,1,1,Liberal Democrat,Labour,Labour,0,NA,NA,NA,4,0.75,1,0,1,0,0,0
0,NA,0,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP),NA,0,NA,NA,NA,7,1,1,1,0,1,1,NA
0,NA,0,Conservative,Conservative,NA,0,NA,NA,NA,8,1,0.5,1,0,1,1,NA
1,NA,1,Liberal Democrat,Labour,NA,0,NA,NA,NA,2,0.5,0.75,0,0,0,0,NA
1,NA,1,Liberal Democrat,Labour,NA,0,NA,NA,NA,2,0.5,1,0,1,0,0,NA
0,1,1,Conservative,Liberal Democrat,Labour,1,34,5,0,6,0.75,0.25,0,1,1,0,0
1,0,0,Labour,United Kingdom Independence Party (UKIP),Conservative,1,63,1,0,0,1,1,1,0,0,1,1
1,1,1,Labour,Labour,Labour,0,NA,NA,NA,0,0.5,0.75,NA,0,0,0,0
1,1,1,Labour,Labour,Labour,0,49,3,0,2,0,1,0,0,0,0,0
1,0,1,Liberal Democrat,Labour,Conservative,1,66,2,0,4,1,1,0,0,0,0,1
0,0,0,Conservative,Conservative,Conservative,0,73,3,0,8,0.75,0.25,0,1,1,1,1
1,1,1,Liberal Democrat,Liberal Democrat,Plaid Cymru,0,NA,NA,NA,5,0.5,0.5,0,1,0,0,0
1,NA,1,Liberal Democrat,Green Party,NA,1,NA,NA,NA,5,0.5,0.75,0,0,0,0,NA
0,0,0,Conservative,Conservative,Conservative,1,59,2,0,6,1,0.5,1,0,1,1,1
0,NA,0,Conservative,Conservative,NA,0,NA,NA,NA,3,1,0.75,0,0,1,1,NA
0,NA,0,Conservative,Conservative,NA,1,NA,NA,NA,8,0.75,0.5,0,1,1,1,NA
1,0,1,Labour,Labour,Conservative,0,77,2,0,5,1,1,0,1,0,0,1
0,0,0,Conservative,Conservative,Conservative,0,33,2,0,8,0.5,0.5,0,1,1,1,1
0,NA,0,Conservative,Conservative,NA,1,NA,NA,NA,7,0.75,NA,0,0,1,1,NA
1,1,1,Labour,Labour,Labour,0,49,3,0,0,1,0.75,0,1,0,0,0
0,NA,0,Conservative,Conservative,NA,1,NA,NA,NA,8,1,0.5,1,0,1,1,NA
1,1,1,Labour,Labour,Labour,0,NA,NA,NA,3,0.75,1,0,1,0,0,0
1,NA,1,Labour,Labour,NA,0,NA,NA,NA,3,1,0.75,0,1,0,0,NA
1,NA,1,Labour,Labour,NA,1,NA,NA,NA,3,0.75,0.75,0,1,0,0,NA
1,0,0,Liberal Democrat,Conservative,Conservative,0,NA,NA,NA,4,1,0.75,0,0,0,1,1
NA,NA,NA,NA,NA,NA,0,NA,NA,NA,5,1,0.75,0,0,NA,NA,NA
1,NA,1,Labour,Labour,NA,0,NA,NA,NA,NA,0.75,0.75,1,0,0,0,NA
1,NA,1,Labour,Labour,NA,1,NA,NA,NA,2,0.5,0.75,0,1,0,0,NA
0,NA,0,Conservative,Conservative,NA,0,NA,NA,NA,NA,1,1,0,1,1,1,NA
1,NA,0,Labour,Conservative,NA,1,NA,NA,NA,3,0.5,0.5,NA,0,0,1,NA
0,NA,0,Conservative,Conservative,NA,0,NA,NA,NA,7,1,0.25,0,0,1,1,NA
NA,NA,NA,NA,NA,NA,1,NA,NA,NA,9,1,0,0,0,NA,NA,NA
0,1,0,Conservative,Conservative,Labour,0,NA,NA,NA,6,0.5,0.5,0,1,1,1,0
1,NA,1,Liberal Democrat,Green Party,NA,0,NA,NA,NA,0,0.25,1,0,0,0,0,NA
0,NA,0,Conservative,United Kingdom Independence Party (UKIP),NA,0,NA,NA,NA,4,1,1,1,0,1,1,NA
1,NA,1,Labour,Labour,NA,0,NA,NA,NA,1,0.75,1,0,0,0,0,NA
0,NA,0,Conservative,Conservative,NA,0,NA,NA,NA,NA,1,1,1,0,1,1,NA
1,NA,1,Liberal Democrat,Labour,NA,0,NA,NA,NA,NA,0.5,0.5,NA,0,0,0,NA
NA,NA,1,NA,Green Party,NA,0,NA,NA,NA,NA,0.5,0.75,NA,0,NA,0,NA
1,1,NA,Labour,NA,Labour,1,34,5,0,NA,0.5,1,NA,0,0,NA,0
0,NA,0,Conservative,Conservative,NA,1,NA,NA,NA,7,0.75,0.5,0,1,1,1,NA
1,NA,1,Labour,Labour,NA,0,NA,NA,NA,1,0.5,1,0,1,0,0,NA
1,1,1,Labour,Labour,Labour,0,42,5,0,2,0.5,1,0,1,0,0,0
1,NA,NA,Labour,NA,NA,1,NA,NA,NA,3,1,0.75,0,0,0,NA,NA
0,NA,0,Conservative,United Kingdom Independence Party (UKIP),NA,1,NA,NA,NA,8,1,1,1,0,1,1,NA
1,0,0,Labour,United Kingdom Independence Party (UKIP),Conservative,1,42,5,0,2,1,0.75,NA,0,0,1,1
1,NA,1,Labour,Labour,NA,1,58,2,0,NA,1,0.75,0,0,0,0,NA
NA,NA,0,NA,Conservative,NA,1,NA,NA,NA,5,0.5,0.25,0,1,NA,1,NA
1,1,1,Labour,Labour,Labour,0,30,5,0,0,0.75,1,NA,0,0,0,0
1,NA,1,Liberal Democrat,Labour,NA,0,NA,NA,NA,9,0.5,1,0,1,0,0,NA
0,0,0,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP),Conservative,1,NA,NA,NA,6,1,0.5,0,1,1,1,1
1,1,1,Liberal Democrat,Labour,Labour,1,NA,NA,NA,5,0.5,0.5,0,1,0,0,0
1,1,1,Liberal Democrat,Plaid Cymru,Labour,1,40,5,0,2,0.5,1,0,1,0,0,0
0,NA,0,British National Party (BNP),United Kingdom Independence Party (UKIP),NA,1,68,1,0,8,1,1,1,0,1,1,NA
0,0,0,Conservative,Conservative,Conservative,0,58,3,0,4,1,0.75,0,1,1,1,1
1,1,1,Liberal Democrat,Green Party,Labour,1,27,5,0,7,0.5,0.5,0,1,0,0,0
1,NA,1,Labour,Labour,NA,1,NA,NA,NA,1,0.5,0.5,NA,0,0,0,NA
1,NA,1,Liberal Democrat,Liberal Democrat,NA,0,NA,NA,NA,1,0.5,0.75,0,1,0,0,NA
1,NA,1,Liberal Democrat,Green Party,NA,1,NA,NA,NA,1,0.25,NA,0,1,0,0,NA
1,0,0,Liberal Democrat,Conservative,Conservative,0,71,3,0,8,0.75,0.75,1,0,0,1,1
0,0,0,Conservative,Conservative,Conservative,0,73,5,0,9,1,NA,0,0,1,1,1
1,NA,1,Liberal Democrat,Liberal Democrat,NA,0,NA,NA,NA,3,0.75,1,0,1,0,0,NA
1,NA,1,Liberal Democrat,Liberal Democrat,NA,0,NA,NA,NA,6,0.75,0.75,0,1,0,0,NA
1,1,1,Labour,Labour,Labour,0,35,5,0,4,1,NA,0,1,0,0,0
1,0,1,Labour,Labour,Conservative,0,67,1,0,NA,0.75,0.75,NA,0,0,0,1
1,NA,1,Liberal Democrat,Green Party,NA,1,NA,NA,NA,0,1,NA,1,0,0,0,NA
NA,NA,0,NA,Conservative,NA,1,80,2,0,7,1,0.25,1,0,NA,1,NA
NA,0,0,NA,United Kingdom Independence Party (UKIP),Conservative,1,61,2,0,5,1,NA,1,0,NA,1,1
0,NA,NA,Conservative,NA,NA,0,NA,NA,NA,5,0.75,0.75,0,0,1,NA,NA
1,1,1,Labour,Liberal Democrat,Liberal Democrat,0,58,3,0,3,0.5,0.75,NA,0,0,0,0
0,0,0,Conservative,Conservative,Conservative,0,NA,NA,NA,6,1,0.5,1,0,1,1,1
NA,0,NA,NA,NA,Conservative,0,65,2,0,6,1,0.75,0,0,NA,NA,1
1,1,1,Labour,Labour,Labour,1,NA,NA,NA,5,1,0.75,0,0,0,0,0
1,1,1,Labour,Labour,Labour,0,NA,NA,NA,0,1,1,0,1,0,0,0
0,0,0,Conservative,United Kingdom Independence Party (UKIP),Conservative,1,NA,NA,NA,7,1,0.75,0,1,1,1,1
NA,1,0,NA,Conservative,Labour,1,NA,NA,NA,NA,0.5,NA,NA,0,NA,1,0
1,0,0,Plaid Cymru,United Kingdom Independence Party (UKIP),Conservative,1,NA,NA,NA,7,1,0.5,1,0,0,1,1
1,NA,NA,Liberal Democrat,NA,NA,0,54,4,0,5,1,NA,0,1,0,NA,NA
1,NA,1,Plaid Cymru,Labour,NA,1,NA,NA,NA,4,1,0.75,0,1,0,0,NA
NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,1,1,0,0,NA,NA,NA
0,1,0,Conservative,Conservative,Liberal Democrat,0,75,5,0,8,1,0.5,1,0,1,1,0
0,NA,0,Conservative,Conservative,NA,1,NA,NA,NA,7,1,0,1,0,1,1,NA
0,NA,0,Conservative,Conservative,NA,0,NA,NA,NA,8,1,0.5,1,0,1,1,NA
1,0,1,Liberal Democrat,Liberal Democrat,Conservative,0,NA,NA,NA,4,1,0.75,0,0,0,0,1
NA,NA,0,NA,Conservative,NA,0,NA,NA,NA,4,1,0.75,0,1,NA,1,NA
1,1,1,Labour,Labour,Liberal Democrat,0,71,3,0,2,0.75,1,0,1,0,0,0
1,NA,NA,Labour,NA,NA,1,NA,NA,NA,5,0.5,0.75,0,0,0,NA,NA
1,NA,1,Liberal Democrat,Liberal Democrat,NA,0,NA,NA,NA,5,0.25,0.75,0,0,0,0,NA
0,NA,NA,Conservative,NA,NA,0,NA,NA,NA,NA,1,0.5,1,0,1,NA,NA
0,0,0,Conservative,Conservative,Conservative,0,69,3,0,NA,1,0.5,1,0,1,1,1
1,NA,1,Labour,Labour,NA,1,NA,NA,NA,2,0.5,1,0,1,0,0,NA
NA,1,1,NA,Green Party,Liberal Democrat,1,26,5,0,3,0.5,NA,0,0,NA,0,0
0,NA,0,Conservative,Conservative,NA,0,NA,NA,NA,NA,1,0.25,1,0,1,1,NA
1,1,1,Liberal Democrat,Labour,Green,0,NA,NA,NA,4,0.75,0.75,0,1,0,0,0
1,1,1,Labour,Labour,Green,1,75,5,0,3,0.5,0.5,0,1,0,0,0
0,NA,0,Conservative,Conservative,NA,1,NA,NA,NA,8,1,0.25,0,0,1,1,NA
1,NA,1,Liberal Democrat,Liberal Democrat,NA,0,NA,NA,NA,NA,1,0.75,1,0,0,0,NA
0,0,0,Conservative,United Kingdom Independence Party (UKIP),Conservative,0,78,2,0,7,1,0.5,0,0,1,1,1
NA,NA,NA,NA,NA,NA,1,35,5,0,8,0.5,0.25,0,1,NA,NA,NA
1,0,0,Labour,Conservative,Conservative,1,66,1,0,5,1,0.75,1,0,0,1,1
1,NA,NA,Liberal Democrat,NA,NA,0,NA,NA,NA,3,0.5,0.5,1,0,0,NA,NA
1,NA,1,Liberal Democrat,Liberal Democrat,NA,0,NA,NA,NA,NA,0,1,NA,0,0,0,NA
1,1,1,Liberal Democrat,Liberal Democrat,Liberal Democrat,1,NA,NA,NA,3,0.5,NA,NA,0,0,0,0
1,NA,0,Liberal Democrat,United Kingdom Independence Party (UKIP),NA,0,NA,NA,NA,5,1,0.5,0,1,0,1,NA
0,NA,0,Conservative,United Kingdom Independence Party (UKIP),NA,1,NA,NA,NA,5,1,0.75,0,1,1,1,NA
1,NA,1,Liberal Democrat,Green Party,NA,1,NA,NA,NA,0,0.5,0.5,0,0,0,0,NA
1,1,1,Liberal Democrat,Liberal Democrat,Liberal Democrat,0,74,5,0,7,0.75,0.5,0,1,0,0,0
1,1,1,Liberal Democrat,Liberal Democrat,Liberal Democrat,1,75,2,0,2,0.75,0.75,0,0,0,0,0
NA,NA,1,NA,Labour,NA,1,NA,NA,NA,3,0.5,0.75,0,1,NA,0,NA
1,1,1,Labour,Green Party,Labour,0,NA,NA,NA,3,0.5,0.75,0,0,0,0,0
NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,0.5,NA,NA,0,NA,NA,NA
0,0,0,Conservative,Conservative,Conservative,0,28,5,0,5,0.5,0.5,NA,0,1,1,1
1,NA,0,Labour,United Kingdom Independence Party (UKIP),NA,0,NA,NA,NA,7,1,0.25,1,0,0,1,NA
0,0,0,Conservative,United Kingdom Independence Party (UKIP),Conservative,0,NA,NA,NA,10,1,0.5,1,0,1,1,1
1,NA,1,Liberal Democrat,Labour,NA,1,NA,NA,NA,NA,1,0.5,0,1,0,0,NA
1,0,1,Labour,Labour,Conservative,0,NA,NA,NA,NA,1,0.75,0,1,0,0,1
NA,NA,1,NA,Labour,NA,1,NA,NA,NA,5,0.75,1,0,1,NA,0,NA
0,0,0,Conservative,Conservative,Conservative,1,64,5,0,6,0.75,0.5,1,0,1,1,1
1,NA,0,Labour,United Kingdom Independence Party (UKIP),NA,1,NA,NA,NA,4,0.75,0.25,0,1,0,1,NA
NA,NA,0,NA,Conservative,NA,1,NA,NA,NA,6,0.75,0.75,1,0,NA,1,NA
0,NA,0,Conservative,Conservative,NA,0,NA,NA,NA,7,1,NA,0,0,1,1,NA
NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,1,0.5,0,0,NA,NA,NA
1,0,0,Liberal Democrat,United Kingdom Independence Party (UKIP),Conservative,1,59,4,0,7,1,0.5,1,0,0,1,1
NA,1,1,NA,Green Party,Plaid Cymru,1,NA,NA,NA,5,0.5,0.75,0,0,NA,0,0
1,NA,1,Green Party,Green Party,NA,0,NA,NA,NA,4,0.5,0.75,0,0,0,0,NA
1,NA,1,Green Party,Green Party,NA,0,NA,NA,NA,4,0.75,0.5,0,0,0,0,NA
0,0,0,Conservative,Conservative,Conservative,0,NA,NA,NA,8,1,0.5,1,0,1,1,1
1,1,1,Liberal Democrat,Green Party,Labour,0,NA,NA,NA,5,0.5,0.75,0,0,0,0,0
0,0,0,Conservative,Conservative,Conservative,1,43,3,0,8,1,0.5,NA,0,1,1,1
1,1,1,Liberal Democrat,Labour,Labour,1,NA,NA,NA,5,0.75,0.75,0,1,0,0,0
NA,NA,1,NA,Labour,NA,1,NA,NA,NA,2,0.5,1,0,0,NA,0,NA
1,1,1,Labour,Liberal Democrat,Liberal Democrat,0,64,3,0,2,0.5,0.75,0,1,0,0,0
0,1,1,Conservative,Labour,Labour,0,NA,NA,NA,3,0.75,0.75,0,1,1,0,0
0,NA,0,Conservative,United Kingdom Independence Party (UKIP),NA,1,NA,NA,NA,5,1,0.75,1,0,1,1,NA
1,NA,NA,Plaid Cymru,NA,NA,0,NA,NA,NA,7,1,0.75,1,0,0,NA,NA
1,0,0,Liberal Democrat,United Kingdom Independence Party (UKIP),Conservative,1,NA,NA,NA,7,1,0.25,0,0,0,1,1
1,1,1,Labour,Labour,Green,1,70,1,0,2,1,1,0,0,0,0,0
1,NA,0,Liberal Democrat,United Kingdom Independence Party (UKIP),NA,1,NA,NA,NA,4,1,0.75,0,1,0,1,NA
0,NA,0,Conservative,Conservative,NA,1,NA,NA,NA,7,1,0.5,0,0,1,1,NA
0,1,0,Conservative,Conservative,Liberal Democrat,1,NA,NA,NA,8,0.75,0.25,0,1,1,1,0
1,1,1,Labour,Labour,Labour,0,60,2,0,4,1,1,0,0,0,0,0
1,NA,NA,Labour,NA,NA,0,NA,NA,NA,5,1,0.75,1,0,0,NA,NA
1,1,1,Labour,Labour,Liberal Democrat,1,39,3,0,3,0.25,1,0,1,0,0,0
1,1,1,Labour,Labour,Liberal Democrat,0,73,3,0,NA,0.75,0.75,0,1,0,0,0
0,0,0,Conservative,United Kingdom Independence Party (UKIP),Conservative,1,64,5,0,7,1,0.5,1,0,1,1,1
1,NA,NA,Labour,NA,NA,1,NA,NA,NA,7,1,0.5,1,0,0,NA,NA
1,1,1,Labour,Labour,Labour,0,77,5,0,3,1,0.75,1,0,0,0,0
NA,NA,0,NA,Conservative,NA,0,NA,NA,NA,7,0.75,0.75,NA,0,NA,1,NA
1,1,1,Labour,Labour,Labour,1,62,5,0,2,0.5,1,0,1,0,0,0
1,NA,1,Liberal Democrat,Labour,NA,0,NA,NA,NA,3,0.5,0.75,0,1,0,0,NA
1,NA,1,Labour,Labour,NA,1,NA,NA,NA,2,0.75,1,0,1,0,0,NA
1,1,1,Labour,Labour,Labour,1,68,1,0,5,1,0.75,0,0,0,0,0
NA,NA,0,NA,United Kingdom Independence Party (UKIP),NA,0,NA,NA,NA,NA,1,0.75,1,0,NA,1,NA
1,0,1,Labour,Liberal Democrat,Conservative,1,79,3,0,6,1,NA,0,0,0,0,1
1,NA,1,Liberal Democrat,Liberal Democrat,NA,1,NA,NA,NA,4,0.75,0.75,0,1,0,0,NA
0,0,0,Conservative,Conservative,Conservative,0,NA,NA,NA,5,1,0.5,0,1,1,1,1
1,NA,0,Liberal Democrat,Conservative,NA,1,NA,NA,NA,10,1,0.5,1,0,0,1,NA
1,NA,1,Liberal Democrat,Labour,NA,0,NA,NA,NA,4,0.5,0.75,0,0,0,0,NA
1,0,1,Labour,Labour,Conservative,1,73,2,0,2,1,1,1,0,0,0,1
1,NA,1,Labour,Labour,NA,0,NA,NA,NA,4,0.75,0.75,0,1,0,0,NA
1,1,NA,Liberal Democrat,NA,Liberal Democrat,0,NA,NA,NA,5,0.5,0.75,0,1,0,NA,0
NA,1,NA,NA,NA,Labour,1,NA,NA,NA,3,0.5,1,0,1,NA,NA,0
1,NA,1,Labour,Labour,NA,1,NA,NA,NA,4,1,0.75,0,0,0,0,NA
1,NA,1,Plaid Cymru,Plaid Cymru,NA,1,NA,NA,NA,2,0.5,0.75,0,1,0,0,NA
0,NA,NA,Conservative,NA,NA,1,NA,NA,NA,NA,1,0.25,1,0,1,NA,NA
1,NA,1,Labour,Labour,NA,0,NA,NA,NA,3,1,1,0,1,0,0,NA
1,NA,1,Labour,Green Party,NA,0,NA,NA,NA,3,0.5,0.75,0,1,0,0,NA
1,1,1,Liberal Democrat,Liberal Democrat,Liberal Democrat,1,NA,NA,NA,5,0.5,0.5,0,1,0,0,0
